year,month,pair,week
2017,01 January,AUD_CAD,1
2017,01 January,AUD_CAD,2
2017,01 January,AUD_CAD,3
2017,01 January,AUD_CAD,4
2017,01 January,AUD_CAD,5
2017,01 January,AUD_JPY,1
2017,01 January,AUD_JPY,2
2017,01 January,AUD_JPY,3
2017,01 January,AUD_JPY,4
2017,01 January,AUD_JPY,5
2017,01 January,AUD_NZD,1
2017,01 January,AUD_NZD,2
2017,01 January,AUD_NZD,3
2017,01 January,AUD_NZD,4
2017,01 January,AUD_NZD,5
2017,02 February,AUD_CAD,1
2017,02 February,AUD_CAD,2
2017,02 February,AUD_CAD,3
2017,02 February,AUD_CAD,4
2017,02 February,AUD_CAD,5
2017,02 February,AUD_JPY,1
2017,02 February,AUD_JPY,2
2017,02 February,AUD_JPY,3
2017,02 February,AUD_JPY,4
2017,02 February,AUD_JPY,5
2017,02 February,AUD_NZD,1
2017,02 February,AUD_NZD,2
2017,02 February,AUD_NZD,3
2017,02 February,AUD_NZD,4
2017,02 February,AUD_NZD,5
2017,03 March,AUD_CAD,1
2017,03 March,AUD_CAD,2
2017,03 March,AUD_CAD,3
2017,03 March,AUD_CAD,4
2017,03 March,AUD_CAD,5
2017,03 March,AUD_JPY,1
2017,03 March,AUD_JPY,2
2017,03 March,AUD_JPY,3
2017,03 March,AUD_JPY,4
2017,03 March,AUD_JPY,5
2017,03 March,AUD_NZD,1
2017,03 March,AUD_NZD,2
2017,03 March,AUD_NZD,3
2017,03 March,AUD_NZD,4
2017,03 March,AUD_NZD,5
2017,04 April,AUD_CAD,1
2017,04 April,AUD_CAD,2
2017,04 April,AUD_CAD,3
2017,04 April,AUD_CAD,4
2017,04 April,AUD_CAD,5
2017,04 April,AUD_JPY,1
2017,04 April,AUD_JPY,2
2017,04 April,AUD_JPY,3
2017,04 April,AUD_JPY,4
2017,04 April,AUD_JPY,5
2017,04 April,AUD_NZD,1
2017,04 April,AUD_NZD,2
2017,04 April,AUD_NZD,3
2017,04 April,AUD_NZD,4
2017,04 April,AUD_NZD,5
2017,05 May,AUD_CAD,1
2017,05 May,AUD_CAD,2
2017,05 May,AUD_CAD,3
2017,05 May,AUD_CAD,4
2017,05 May,AUD_CAD,5
2017,05 May,AUD_JPY,1
2017,05 May,AUD_JPY,2
2017,05 May,AUD_JPY,3
2017,05 May,AUD_JPY,4
2017,05 May,AUD_JPY,5
2017,05 May,AUD_NZD,1
2017,05 May,AUD_NZD,2
2017,05 May,AUD_NZD,3
2017,05 May,AUD_NZD,4
2017,05 May,AUD_NZD,5
2017,06 June,AUD_CAD,1
2017,06 June,AUD_CAD,2
2017,06 June,AUD_CAD,3
2017,06 June,AUD_CAD,4
2017,06 June,AUD_CAD,5
2017,06 June,AUD_JPY,1
2017,06 June,AUD_JPY,2
2017,06 June,AUD_JPY,3
2017,06 June,AUD_JPY,4
2017,06 June,AUD_JPY,5
2017,06 June,AUD_NZD,1
2017,06 June,AUD_NZD,2
2017,06 June,AUD_NZD,3
2017,06 June,AUD_NZD,4
2017,06 June,AUD_NZD,5
2017,07 July,AUD_CAD,1
2017,07 July,AUD_CAD,2
2017,07 July,AUD_CAD,3
2017,07 July,AUD_CAD,4
2017,07 July,AUD_CAD,5
2017,07 July,AUD_JPY,1
2017,07 July,AUD_JPY,2
2017,07 July,AUD_JPY,3
2017,07 July,AUD_JPY,4
2017,07 July,AUD_JPY,5
2017,07 July,AUD_NZD,1
2017,07 July,AUD_NZD,2
2017,07 July,AUD_NZD,3
2017,07 July,AUD_NZD,4
2017,07 July,AUD_NZD,5
2017,08 August,AUD_CAD,1
2017,08 August,AUD_CAD,2
2017,08 August,AUD_CAD,3
2017,08 August,AUD_CAD,4
2017,08 August,AUD_CAD,5
2017,08 August,AUD_JPY,1
2017,08 August,AUD_JPY,2
2017,08 August,AUD_JPY,3
2017,08 August,AUD_JPY,4
2017,08 August,AUD_JPY,5
2017,08 August,AUD_NZD,1
2017,08 August,AUD_NZD,2
2017,08 August,AUD_NZD,3
2017,08 August,AUD_NZD,4
2017,08 August,AUD_NZD,5
2017,09 September,AUD_CAD,1
2017,09 September,AUD_CAD,2
2017,09 September,AUD_CAD,3
2017,09 September,AUD_CAD,4
2017,09 September,AUD_CAD,5
2017,09 September,AUD_JPY,1
2017,09 September,AUD_JPY,2
2017,09 September,AUD_JPY,3
2017,09 September,AUD_JPY,4
2017,09 September,AUD_JPY,5
2017,09 September,AUD_NZD,1
2017,09 September,AUD_NZD,2
2017,09 September,AUD_NZD,3
2017,09 September,AUD_NZD,4
2017,09 September,AUD_NZD,5
2017,10 October,AUD_CAD,1
2017,10 October,AUD_CAD,2
2017,10 October,AUD_CAD,3
2017,10 October,AUD_CAD,4
2017,10 October,AUD_CAD,5
2017,10 October,AUD_JPY,1
2017,10 October,AUD_JPY,2
2017,10 October,AUD_JPY,3
2017,10 October,AUD_JPY,4
2017,10 October,AUD_JPY,5
2017,10 October,AUD_NZD,1
2017,10 October,AUD_NZD,2
2017,10 October,AUD_NZD,3
2017,10 October,AUD_NZD,4
2017,10 October,AUD_NZD,5
2017,11 November,AUD_CAD,1
2017,11 November,AUD_CAD,2
2017,11 November,AUD_CAD,3
2017,11 November,AUD_CAD,4
2017,11 November,AUD_CAD,5
2017,11 November,AUD_JPY,1
2017,11 November,AUD_JPY,2
2017,11 November,AUD_JPY,3
2017,11 November,AUD_JPY,4
2017,11 November,AUD_JPY,5
2017,11 November,AUD_NZD,1
2017,11 November,AUD_NZD,2
2017,11 November,AUD_NZD,3
2017,11 November,AUD_NZD,4
2017,11 November,AUD_NZD,5
2017,12 December,AUD_CAD,1
2017,12 December,AUD_CAD,2
2017,12 December,AUD_CAD,3
2017,12 December,AUD_CAD,4
2017,12 December,AUD_CAD,5
2017,12 December,AUD_JPY,1
2017,12 December,AUD_JPY,2
2017,12 December,AUD_JPY,3
2017,12 December,AUD_JPY,4
2017,12 December,AUD_JPY,5
2017,12 December,AUD_NZD,1
2017,12 December,AUD_NZD,2
2017,12 December,AUD_NZD,3
2017,12 December,AUD_NZD,4
2017,12 December,AUD_NZD,5
2018,01 January,AUD_CAD,1
2018,01 January,AUD_CAD,2
2018,01 January,AUD_CAD,3
2018,01 January,AUD_CAD,4
2018,01 January,AUD_CAD,5
2018,01 January,AUD_JPY,1
2018,01 January,AUD_JPY,2
2018,01 January,AUD_JPY,3
2018,01 January,AUD_JPY,4
2018,01 January,AUD_JPY,5
2018,01 January,AUD_NZD,1
2018,01 January,AUD_NZD,2
2018,01 January,AUD_NZD,3
2018,01 January,AUD_NZD,4
2018,01 January,AUD_NZD,5
2018,02 February,AUD_CAD,1
2018,02 February,AUD_CAD,2
2018,02 February,AUD_CAD,3
2018,02 February,AUD_CAD,4
2018,02 February,AUD_CAD,5
2018,02 February,AUD_JPY,1
2018,02 February,AUD_JPY,2
2018,02 February,AUD_JPY,3
2018,02 February,AUD_JPY,4
2018,02 February,AUD_JPY,5
2018,02 February,AUD_NZD,1
2018,02 February,AUD_NZD,2
2018,02 February,AUD_NZD,3
2018,02 February,AUD_NZD,4
2018,02 February,AUD_NZD,5
2018,03 March,AUD_CAD,1
2018,03 March,AUD_CAD,2
2018,03 March,AUD_CAD,3
2018,03 March,AUD_CAD,4
2018,03 March,AUD_CAD,5
2018,03 March,AUD_JPY,1
2018,03 March,AUD_JPY,2
2018,03 March,AUD_JPY,3
2018,03 March,AUD_JPY,4
2018,03 March,AUD_JPY,5
2018,03 March,AUD_NZD,1
2018,03 March,AUD_NZD,2
2018,03 March,AUD_NZD,3
2018,03 March,AUD_NZD,4
2018,03 March,AUD_NZD,5
2018,04 April,AUD_CAD,1
2018,04 April,AUD_CAD,2
2018,04 April,AUD_CAD,3
2018,04 April,AUD_CAD,4
2018,04 April,AUD_CAD,5
2018,04 April,AUD_JPY,1
2018,04 April,AUD_JPY,2
2018,04 April,AUD_JPY,3
2018,04 April,AUD_JPY,4
2018,04 April,AUD_JPY,5
2018,04 April,AUD_NZD,1
2018,04 April,AUD_NZD,2
2018,04 April,AUD_NZD,3
2018,04 April,AUD_NZD,4
2018,04 April,AUD_NZD,5
2018,05 May,AUD_CAD,1
2018,05 May,AUD_CAD,2
2018,05 May,AUD_CAD,3
2018,05 May,AUD_CAD,4
2018,05 May,AUD_CAD,5
2018,05 May,AUD_JPY,1
2018,05 May,AUD_JPY,2
2018,05 May,AUD_JPY,3
2018,05 May,AUD_JPY,4
2018,05 May,AUD_JPY,5
2018,05 May,AUD_NZD,1
2018,05 May,AUD_NZD,2
2018,05 May,AUD_NZD,3
2018,05 May,AUD_NZD,4
2018,05 May,AUD_NZD,5
2018,06 June,AUD_CAD,1
2018,06 June,AUD_CAD,2
2018,06 June,AUD_CAD,3
2018,06 June,AUD_CAD,4
2018,06 June,AUD_CAD,5
2018,06 June,AUD_JPY,1
2018,06 June,AUD_JPY,2
2018,06 June,AUD_JPY,3
2018,06 June,AUD_JPY,4
2018,06 June,AUD_JPY,5
2018,06 June,AUD_NZD,1
2018,06 June,AUD_NZD,2
2018,06 June,AUD_NZD,3
2018,06 June,AUD_NZD,4
2018,06 June,AUD_NZD,5
2018,07 July,AUD_CAD,1
2018,07 July,AUD_CAD,2
2018,07 July,AUD_CAD,3
2018,07 July,AUD_CAD,4
2018,07 July,AUD_CAD,5
2018,07 July,AUD_JPY,1
2018,07 July,AUD_JPY,2
2018,07 July,AUD_JPY,3
2018,07 July,AUD_JPY,4
2018,07 July,AUD_JPY,5
2018,07 July,AUD_NZD,1
2018,07 July,AUD_NZD,2
2018,07 July,AUD_NZD,3
2018,07 July,AUD_NZD,4
2018,07 July,AUD_NZD,5
2018,08 August,AUD_CAD,1
2018,08 August,AUD_CAD,2
2018,08 August,AUD_CAD,3
2018,08 August,AUD_CAD,4
2018,08 August,AUD_CAD,5
2018,08 August,AUD_JPY,1
2018,08 August,AUD_JPY,2
2018,08 August,AUD_JPY,3
2018,08 August,AUD_JPY,4
2018,08 August,AUD_JPY,5
2018,08 August,AUD_NZD,1
2018,08 August,AUD_NZD,2
2018,08 August,AUD_NZD,3
2018,08 August,AUD_NZD,4
2018,08 August,AUD_NZD,5
2018,09 September,AUD_CAD,1
2018,09 September,AUD_CAD,2
2018,09 September,AUD_CAD,3
2018,09 September,AUD_CAD,4
2018,09 September,AUD_CAD,5
2018,09 September,AUD_JPY,1
2018,09 September,AUD_JPY,2
2018,09 September,AUD_JPY,3
2018,09 September,AUD_JPY,4
2018,09 September,AUD_JPY,5
2018,09 September,AUD_NZD,1
2018,09 September,AUD_NZD,2
2018,09 September,AUD_NZD,3
2018,09 September,AUD_NZD,4
2018,09 September,AUD_NZD,5
2018,10 October,AUD_CAD,1
2018,10 October,AUD_CAD,2
2018,10 October,AUD_CAD,3
2018,10 October,AUD_CAD,4
2018,10 October,AUD_CAD,5
2018,10 October,AUD_JPY,1
2018,10 October,AUD_JPY,2
2018,10 October,AUD_JPY,3
2018,10 October,AUD_JPY,4
2018,10 October,AUD_JPY,5
2018,10 October,AUD_NZD,1
2018,10 October,AUD_NZD,2
2018,10 October,AUD_NZD,3
2018,10 October,AUD_NZD,4
2018,10 October,AUD_NZD,5
2018,11 November,AUD_CAD,1
2018,11 November,AUD_CAD,2
2018,11 November,AUD_CAD,3
2018,11 November,AUD_CAD,4
2018,11 November,AUD_CAD,5
2018,11 November,AUD_JPY,1
2018,11 November,AUD_JPY,2
2018,11 November,AUD_JPY,3
2018,11 November,AUD_JPY,4
2018,11 November,AUD_JPY,5
2018,11 November,AUD_NZD,1
2018,11 November,AUD_NZD,2
2018,11 November,AUD_NZD,3
2018,11 November,AUD_NZD,4
2018,11 November,AUD_NZD,5
2019,01 January,AUD_CAD,1
2019,01 January,AUD_CAD,2
2019,01 January,AUD_CAD,3
2019,01 January,AUD_CAD,4
2019,01 January,AUD_CAD,5
2019,01 January,AUD_JPY,1
2019,01 January,AUD_JPY,2
2019,01 January,AUD_JPY,3
2019,01 January,AUD_JPY,4
2019,01 January,AUD_JPY,5
2019,01 January,AUD_NZD,1
2019,01 January,AUD_NZD,2
2019,01 January,AUD_NZD,3
2019,01 January,AUD_NZD,4
2019,01 January,AUD_NZD,5
2018,12 December,AUD_CAD,1
2018,12 December,AUD_CAD,2
2018,12 December,AUD_CAD,3
2018,12 December,AUD_CAD,4
2018,12 December,AUD_CAD,5
2018,12 December,AUD_JPY,1
2018,12 December,AUD_JPY,2
2018,12 December,AUD_JPY,3
2018,12 December,AUD_JPY,4
2018,12 December,AUD_JPY,5
2018,12 December,AUD_NZD,1
2018,12 December,AUD_NZD,2
2018,12 December,AUD_NZD,3
2018,12 December,AUD_NZD,4
2018,12 December,AUD_NZD,5
